genome,year,root_to_tip
OQ253250.1,2022.651826484018,0.013533848499999999
OQ555660.1,2022.9714611872148,0.013539427
SRR28085240,2021.0,0.013539427
SRR28085241,2013.0,0.013539427
PQ682461.1,2020.0,0.013539427
OR567413.1,2022.9166666666667,0.0136041809
PQ727625.1,2022.0,0.0135344132
PQ727630.1,2022.0,0.0135344132
PQ727631.1,2022.0,0.0135344132
PQ727626.1,2022.0,0.0135344132
OM105589.1,2019.60799086758,0.0135255129
OM984485.1,2019.0,0.013452385499999999
OP508345.1,2019.5833333333333,0.013870794399999999
PQ727627.1,2022.0,0.0134589953
