tip,Country,Continent
OM793602.1,Russia,Europe
OM793603.1,Russia,Europe
OM793604.1,South Africa,Africa
OM793605.1,South Africa,Africa
OM793606.1,South Africa,Africa
OM793607.1,South Africa,Africa
OM793608.1,South Africa,Africa
OM793609.1,South Africa,Africa
OM803091.1,China,Asia
OM803092.1,China,Asia
OM984485.1,China,Asia
OM984486.1,China,Asia
ON005067.1,Kazakhstan,Europe
ON010590.1,Kazakhstan,Europe
ON152411.1,Thailand,Asia
ON400507.1,India,Asia
ON616408.1,China,Asia
ON961655.1,Russia,Europe
ON961656.1,Russia,Europe
ON961657.1,Russia,Europe
OP297402.1,India,Asia
OP508345.1,China,Asia
OP654649.1,China,Asia
OP688128.1,Bangladesh,Asia
OP688129.1,Bangladesh,Asia
OP752701.1,China,Asia
OP922506.1,China,Asia
OP985536.1,China,Asia
OQ200493.1,Thailand,Asia
OQ253250.1,Thailand,Asia
OQ253251.1,Thailand,Asia
OQ253252.1,Thailand,Asia
OQ253253.1,Thailand,Asia
OQ253254.1,Thailand,Asia
OQ253255.1,Thailand,Asia
OQ253256.1,Thailand,Asia
OQ267777.1,Thailand,Asia
OQ267778.1,Thailand,Asia
OQ349695.1,Thailand,Asia
OQ427097.1,India,Asia
OQ434235.1,Russia,Europe
OQ434236.1,Russia,Europe
OQ434237.1,Russia,Europe
OQ434238.1,Russia,Europe
OQ434239.1,Russia,Europe
OQ511520.1,Thailand,Asia
OQ555660.1,China,Asia
OQ588787.1,India,Asia
OQ606832.1,India,Asia
OR134832.1,Albania,Europe
OR134833.1,Albania,Europe
OR134834.1,Albania,Europe
OR134835.1,Albania,Europe
OR134836.1,Albania,Europe
OR134837.1,Albania,Europe
OR134838.1,Greece,Europe
OR134839.1,Greece,Europe
OR134840.1,Greece,Europe
OR134841.1,Greece,Europe
OR134842.1,Greece,Europe
OR134843.1,North Macedonia,Europe
OR134844.1,North Macedonia,Europe
OR134845.1,Serbia,Europe
OR134846.1,Serbia,Europe
OR134847.1,Serbia,Europe
OR134848.1,Serbia,Europe
OR134849.1,Serbia,Europe
OR194148.1,Russia,Europe
OR232413.1,Indonesia,Asia
OR232414.1,Indonesia,Asia
OR239060.1,United Arab Emirates,Asia
OR347834.1,Thailand,Asia
OR347835.1,Thailand,Asia
OR347836.1,Thailand,Asia
OR347837.1,Thailand,Asia
OR393167.1,India,Asia
OR393169.1,India,Asia
OR393170.1,India,Asia
OR393171.1,India,Asia
OR393172.1,India,Asia
OR393173.1,India,Asia
OR393174.1,India,Asia
OR393175.1,India,Asia
OR393176.1,India,Asia
OR393177.1,India,Asia
OR393178.1,India,Asia
OR520147.1,India,Asia
OR567413.1,China,Asia
OR644282.1,South Africa,Africa
OR644283.1,South Africa,Africa
OR644284.1,South Africa,Africa
OR644285.1,South Africa,Africa
OR735987.1,Thailand,Asia
OR797612.1,China,Asia
OR863389.1,India,Asia
OR983146.1,India,Asia
OR983147.1,India,Asia
OR983148.1,India,Asia
OR983149.1,India,Asia
OR983150.1,India,Asia
OR983151.1,India,Asia
OR983152.1,India,Asia
PP053747.1,Bangladesh,Asia
PP065788.1,Lesotho,Africa
PP065789.1,Lesotho,Africa
PP145891.1,Malaysia,Asia
PP145892.1,Malaysia,Asia
PP746705.1,Bangladesh,Asia
PP756497.1,Bangladesh,Asia
PP843160.1,Spain,Europe
PP886236.1,Greece,Europe
PP886237.1,Greece,Europe
PP886238.1,Bulgaria,Europe
PP886239.1,Spain,Europe
PP894832.1,China,Asia
PP979138.1,Bangladesh,Asia
PQ005629.1,Bangladesh,Asia
PQ014465.1,Kazakhstan,Europe
PQ037207.1,Indonesia,Asia
PQ179265.1,Bangladesh,Asia
PQ201927.1,India,Asia
PQ472736.1,India,Asia
PQ510117.1,India,Asia
PQ510118.1,India,Asia
PQ682461.1,China,Asia
PQ682462.1,China,Asia
PQ727625.1,Russia,Europe
PQ727626.1,Russia,Europe
PQ727627.1,Russia,Europe
PQ727628.1,Russia,Europe
PQ727629.1,Russia,Europe
PQ727630.1,Russia,Europe
PQ727631.1,Russia,Europe
PQ727632.1,Russia,Europe
PQ727633.1,Russia,Europe
PQ824703.1,Pakistan,Asia
PQ824704.1,Pakistan,Asia
PQ824705.1,Pakistan,Asia
PQ824706.1,Pakistan,Asia
PQ824707.1,Pakistan,Asia
PQ878211.1,Bhutan,Asia
PV022135.1,Bangladesh,Asia
PV066181.1,Bangladesh,Asia
PV066182.1,Bangladesh,Asia
PV167793.1,India,Asia
PV167794.1,India,Asia
PV434148.1,Kazakhstan,Europe
PV796583.1,China,Asia
PV835012.1,India,Asia
PV877838.1,Oman,Asia
PX127681.1,Viet Nam,Asia
PX127682.1,Viet Nam,Asia
PX127683.1,Viet Nam,Asia
PX497580.1,Bangladesh,Asia
PX499192.1,Bangladesh,Asia
SRR11470182,Kazakhstan,Europe
SRR12021190,Namibia,Africa
SRR12021191,Namibia,Africa
SRR15145275_SRR15145276_Merged,Viet Nam,Asia
SRR15145277_SRR15145278_Merged,Viet Nam,Asia
SRR15145279_SRR15145280_Merged,Viet Nam,Asia
SRR21590382,India,Asia
SRR21590386,India,Asia
SRR24474207,India,Asia
SRR25046328,India,Asia
SRR25046331,India,Asia
SRR25461324,India,Asia
SRR25461327,India,Asia
SRR25461328,India,Asia
SRR26283950,Russia,Europe
SRR26747364_SRR26747365_Merged,Albania,Europe
SRR26747366_SRR26747367_Merged,Albania,Europe
SRR26747368_SRR26747369_Merged,Albania,Europe
SRR26747374_SRR26747375_Merged,Serbia,Europe
SRR26747378_SRR26747377_Merged,Serbia,Europe
SRR26747380_SRR26747379_Merged,Serbia,Europe
SRR26747382_SRR26747381_Merged,North Macedonia,Europe
SRR26747384_SRR26747383_Merged,North Macedonia,Europe
SRR26747386_SRR26747385_Merged,Greece,Europe
SRR26747387_SRR26747376_Merged,Albania,Europe
SRR26747388_SRR26747389_Merged,Greece,Europe
SRR26747390_SRR26747391_Merged,Greece,Europe
SRR26747394_SRR26747395_Merged,Greece,Europe
SRR26747396_SRR26747397_Merged,Albania,Europe
SRR26747398_SRR26747399_Merged,Albania,Europe
SRR26792425,China,Asia
SRR27563723,Kenya,Africa
SRR27563724,Sri Lanka,Asia
SRR27563725,Ethiopia,Africa
SRR27563726,South Africa,Africa
SRR27563727,Sri Lanka,Asia
SRR27563728,Ethiopia,Africa
SRR27563729,Nigeria,Africa
SRR27563730,Israel,Asia
SRR27563731,Senegal,Africa
SRR27563732,Ethiopia,Africa
SRR27563733,Oman,Asia
SRR27563734,Cameroon,Africa
SRR27563735,Senegal,Africa
SRR28085235,Ethiopia,Africa
SRR28085236,Mongolia,Asia
SRR28085237,Mongolia,Asia
SRR28085238,Ghana,Africa
SRR28085239,Cameroon,Africa
SRR28085240,Sri Lanka,Asia
SRR28085241,Jordan,Asia
SRR29762742,Bangladesh,Asia
SRR34490579,Cameroon,Africa
