Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations Including Gaps	Cumulative Bases in Recombinations Including Gaps	Bases in Recombinations Excluding Gaps	Cumulative Bases in Recombinations Excluding Gaps	r/m	rho/theta	Genome Length	Bases in Clonal Frame
PP053747.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
OR134846.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
MW030512.1.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR28085236.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
PQ727625.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
OP297402.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OM373209.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
KC951854.1.fasta	7	0	7	0	0	302	0	280	0.000000	0.000000	110315	110015
PV167794.1.fasta	2	0	2	0	0	302	0	276	0.000000	0.000000	110304	110004
KX764644.1.fasta	1	0	1	0	0	21121	0	21041	0.000000	0.000000	110314	89201
OM793603.1.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110321	101946
OR797612.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MW167071.1.fasta	13	0	13	0	0	0	0	0	0.000000	0.000000	110352	110352
SRR26747390_SRR26747391_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OR863389.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR393174.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
NC_003027.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
PQ824705.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110313	89199
OQ267777.1.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110320	101945
PQ727632.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
MW699032.1.fasta	3	0	3	0	0	663	0	645	0.000000	0.000000	110327	109667
SRR25461324.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
OR134837.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
MN636843.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110314	89201
SRR26747368_SRR26747369_Merged.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110323	109663
OR347836.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
KY829023.3.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OR393176.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
SRR26747394_SRR26747395_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OR983148.1.fasta	0	0	0	0	0	663	0	644	0.000000	0.000000	110286	109627
MZ577076.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
OR644283.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MW020571.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110356	110356
OM803091.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
ON005067.1.fasta	5	5	0	1	373	1036	373	1018	0.000000	0.000000	110324	109664
MN636841.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110314	89201
OM984486.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
PQ727630.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
OR393173.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
OQ253255.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
SRR28085238.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
ON400507.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MN072619.1.fasta	3	3	0	1	9	672	9	654	0.000000	0.000000	110325	109665
PQ824707.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110312	89198
MW631933.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110325	109665
PQ824704.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110312	89198
SRR15145279_SRR15145280_Merged.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
OK422493.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
PP979138.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MW435866.1.fasta	3	0	3	0	0	21121	0	21041	0.000000	0.000000	110313	89201
OR567413.1.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110320	101945
SRR25461327.fasta	6	0	6	0	0	663	0	645	0.000000	0.000000	110324	109664
KY702007.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110322	109662
OR983149.1.fasta	0	0	0	0	0	663	0	644	0.000000	0.000000	110289	109630
SRR26747378_SRR26747377_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OR134848.1.fasta	3	3	0	1	41	21121	40	21041	0.000000	0.000000	110317	89204
OM984485.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
PQ824706.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110313	89199
PV167793.1.fasta	9	0	9	0	0	0	0	0	0.000000	0.000000	110349	110349
OR393169.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR393171.1.fasta	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
PQ727629.1.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110320	101945
OK422494.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
OR134842.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
MG972412.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89203
ON152411.1.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110319	101944
PX499192.1.fasta	1	0	1	0	0	302	0	280	0.000000	0.000000	110316	110016
MN072625.1.fasta	28	0	28	0	0	302	0	280	0.000000	0.000000	110308	110008
OR134838.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OQ253256.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
PP065789.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
KX576657.1.fasta	0	0	0	0	0	305	0	279	0.000000	0.000000	110301	109998
PQ682461.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
MZ577075.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
OR347835.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110317	101942
OM793608.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110316	89203
SRR26747396_SRR26747397_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OR983152.1.fasta	0	0	0	0	0	663	0	644	0.000000	0.000000	110287	109628
MT137384.1.fasta	5	0	5	0	0	0	0	0	0.000000	0.000000	110357	110357
PP886238.1.fasta	2	0	2	0	0	0	0	0	0.000000	0.000000	110350	110350
SRR27563732.fasta	3	0	3	0	0	663	0	645	0.000000	0.000000	110323	109663
SRR28085237.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR644284.1.fasta	4	0	4	0	0	663	0	645	0.000000	0.000000	110323	109663
OQ200493.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
OM105589.1.fasta	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110319	101944
SRR27563723.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
OR735987.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
SRR27563735.fasta	2	0	2	0	0	663	0	645	0.000000	0.000000	110324	109664
OM530217.1.fasta	0	0	0	0	0	22564	0	22485	0.000000	0.000000	110325	87769
AY077832.1.fasta	1	0	1	0	0	0	0	0	0.000000	0.000000	110349	110349
OR134843.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
PV796583.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
OQ253251.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
PQ727631.1.fasta	2	0	2	0	0	8383	0	8349	0.000000	0.000000	110320	101945
ON961657.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110359	110359
KX764643.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89203
SRR26747382_SRR26747381_Merged.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
OQ267778.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
OQ253250.1.fasta	2	0	2	0	0	8383	0	8349	0.000000	0.000000	110319	101944
MT130502.2.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
KX764645.1.fasta	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89203
KX894508.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
PQ727633.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
MN642592.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
SRR27563734.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
MW020570.1.fasta	3	0	3	0	0	302	0	280	0.000000	0.000000	110315	110015
NC_004003.1.fasta	0	0	0	0	0	305	0	279	0.000000	0.000000	110301	109998
OQ253253.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
OQ434238.1.fasta	0	0	0	0	0	0	0	0	0.000000	0.000000	110359	110359
OR134841.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
KX683219.1.fasta	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
MW355944.1.fasta	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_1	56	5	51	1	271	271	271	271	0.098039	0.019608	110357	110357
Node_2	9	0	9	0	0	0	0	0	0.000000	0.000000	110384	110384
Node_3	6	0	6	0	0	0	0	0	0.000000	0.000000	110365	110365
Node_4	1	0	1	0	0	0	0	0	0.000000	0.000000	110371	110371
Node_5	9	0	9	0	0	0	0	0	0.000000	0.000000	110376	110376
Node_6	1	0	1	0	0	0	0	0	0.000000	0.000000	110382	110382
Node_7	5	0	5	0	0	0	0	0	0.000000	0.000000	110382	110382
Node_8	9	0	9	0	0	0	0	0	0.000000	0.000000	110364	110364
Node_9	4	0	4	0	0	0	0	0	0.000000	0.000000	110382	110382
Node_10	4	0	4	0	0	0	0	0	0.000000	0.000000	110385	110385
Node_11	22	0	22	0	0	0	0	0	0.000000	0.000000	110387	110387
Node_12	5	0	5	0	0	0	0	0	0.000000	0.000000	110374	110374
Node_13	8	0	8	0	0	0	0	0	0.000000	0.000000	110372	110372
Node_14	10	0	10	0	0	0	0	0	0.000000	0.000000	110372	110372
Node_15	10	0	10	0	0	0	0	0	0.000000	0.000000	110389	110389
Node_16	1	0	1	0	0	0	0	0	0.000000	0.000000	110393	110393
Node_17	1	0	1	0	0	0	0	0	0.000000	0.000000	110372	110372
Node_18	1	0	1	0	0	0	0	0	0.000000	0.000000	110363	110363
