genome_id,cluster,continent,country,recombination_status
SRR27563733,4,Asia,Oman,Ancestral_recombinant
SRR34490579,5,Africa,Cameroon,No_major_recombination
MZ577074.1,1,Asia,Viet Nam,Ancestral_recombinant
OR393170.1,5,Asia,India,No_major_recombination
OQ349695.1,1,Asia,Thailand,Ancestral_recombinant
MT992618.1,4,Europe,Kazakhstan,Ancestral_recombinant
OP688128.1,5,Asia,Bangladesh,No_major_recombination
OQ434235.1,2,Europe,Russia,No_major_recombination
SRR26747386_SRR26747385_Merged,5,Europe,Greece,No_major_recombination
OR393167.1,5,Asia,India,No_major_recombination
OR983146.1,5,Asia,India,No_major_recombination
OQ434236.1,2,Europe,Russia,No_major_recombination
OQ253254.1,1,Asia,Thailand,Ancestral_recombinant
MN072627.1,2,Asia,Saudi Arabia,No_major_recombination
MH381810.1,3,Asia,China,No_major_recombination
NC_004002.1,2,Asia,Turkey,No_major_recombination
MW656252.1,4,Africa,South Africa,Ancestral_recombinant
OM793604.1,4,Africa,South Africa,Ancestral_recombinant
SRR12021191,5,Africa,Namibia,No_major_recombination
PQ201927.1,5,Asia,India,No_major_recombination
OR134840.1,5,Europe,Greece,No_major_recombination
PP065788.1,5,Africa,Lesotho,No_major_recombination
PQ682462.1,1,Asia,China,Ancestral_recombinant
SRR27563726,5,Africa,South Africa,No_major_recombination
ON961656.1,2,Europe,Russia,No_major_recombination
KT438551.1,2,Asia,China,No_major_recombination
OK318001.1,5,Africa,Nigeria,No_major_recombination
OP654649.1,1,Asia,China,Ancestral_recombinant
AY077836.1,3,Europe,Kazakhstan,No_major_recombination
MN072624.1,3,Africa,Sudan,No_major_recombination
OR239060.1,2,Asia,United Arab Emirates,No_major_recombination
OP508345.1,1,Asia,China,Ancestral_recombinant
OP688129.1,5,Asia,Bangladesh,No_major_recombination
MT007950.1,5,Africa,Namibia,No_major_recombination
PP145891.1,1,Asia,Malaysia,Ancestral_recombinant
PP843160.1,2,Europe,Spain,No_major_recombination
PQ005629.1,5,Asia,Bangladesh,No_major_recombination
SRR21590386,5,Asia,India,No_major_recombination
PP746705.1,5,Asia,Bangladesh,No_major_recombination
OR134833.1,5,Europe,Albania,No_major_recombination
OR134832.1,5,Europe,Albania,No_major_recombination
ON961655.1,2,Europe,Russia,No_major_recombination
SRR26747380_SRR26747379_Merged,5,Europe,Serbia,No_major_recombination
PV066181.1,5,Asia,Bangladesh,No_major_recombination
PX127682.1,1,Asia,Viet Nam,Ancestral_recombinant
SRR27563729,5,Africa,Nigeria,No_major_recombination
MG000156.1,2,Asia,India,No_major_recombination
PX497580.1,3,Asia,Bangladesh,No_major_recombination
OL752713.2,1,Asia,Taiwan,Ancestral_recombinant
OR134845.1,5,Europe,Serbia,No_major_recombination
SRR26747398_SRR26747399_Merged,5,Europe,Albania,No_major_recombination
OP752701.1,1,Asia,China,Ancestral_recombinant
OL542833.1,4,Europe,Russia,Ancestral_recombinant
MN072621.1,3,Asia,Viet Nam,No_major_recombination
MN995838.1,5,Asia,Turkey,No_major_recombination
OQ555660.1,1,Asia,China,Ancestral_recombinant
PQ510118.1,5,Asia,India,No_major_recombination
AF325528.1,5,Africa,Kenya,No_major_recombination
PQ824703.1,4,Asia,Pakistan,Ancestral_recombinant
OR232414.1,1,Asia,Indonesia,Ancestral_recombinant
SRR27563731,5,Africa,Senegal,No_major_recombination
SRR15145275_SRR15145276_Merged,1,Asia,Viet Nam,Ancestral_recombinant
OR347834.1,1,Asia,Thailand,Ancestral_recombinant
OM793607.1,4,Africa,South Africa,Ancestral_recombinant
OR983151.1,5,Asia,India,No_major_recombination
OR393177.1,5,Asia,India,No_major_recombination
MN072623.1,3,Asia,Oman,No_major_recombination
AF409138.1,4,Africa,South Africa,Ancestral_recombinant
SRR15145277_SRR15145278_Merged,1,Asia,Viet Nam,Ancestral_recombinant
MW883897.1,5,Asia,India,No_major_recombination
OR134836.1,5,Europe,Albania,No_major_recombination
SRR27563730,5,Asia,Israel,No_major_recombination
PP886239.1,2,Europe,Spain,No_major_recombination
ON616408.1,1,Asia,China,Ancestral_recombinant
OR983150.1,5,Asia,India,No_major_recombination
OP922506.1,1,Asia,China,Ancestral_recombinant
MN636840.1,4,Africa,South Africa,Ancestral_recombinant
MN636839.1,4,Africa,South Africa,Ancestral_recombinant
MN072622.1,3,Asia,Turkey,No_major_recombination
SRR29762742,5,Asia,Bangladesh,No_major_recombination
MH893760.2,5,Europe,Russia,No_major_recombination
OQ434239.1,2,Europe,Russia,No_major_recombination
OQ606832.1,5,Asia,India,No_major_recombination
PV434148.1,2,Europe,Kazakhstan,No_major_recombination
PP756497.1,5,Asia,Bangladesh,No_major_recombination
PX127683.1,1,Asia,Viet Nam,Ancestral_recombinant
SRR26747374_SRR26747375_Merged,5,Europe,Serbia,No_major_recombination
OR644285.1,5,Africa,South Africa,No_major_recombination
OP985536.1,1,Asia,China,Ancestral_recombinant
OR194148.1,4,Europe,Russia,Ancestral_recombinant
OR644282.1,5,Africa,South Africa,No_major_recombination
SRR25046328,5,Asia,India,No_major_recombination
OR134844.1,5,Europe,North Macedonia,No_major_recombination
MW732649.1,1,Asia,Hong Kong,Ancestral_recombinant
MN072629.1,2,Asia,Turkey,No_major_recombination
SRR26283950,4,Europe,Russia,Ancestral_recombinant
MN072630.1,2,Asia,Saudi Arabia,No_major_recombination
SRR25046331,5,Asia,India,No_major_recombination
OR393175.1,5,Asia,India,No_major_recombination
SRR27563727,5,Asia,Sri Lanka,No_major_recombination
OQ511520.1,1,Asia,Thailand,Ancestral_recombinant
OR393178.1,5,Asia,India,No_major_recombination
PV877838.1,5,Asia,Oman,No_major_recombination
PP053747.1,5,Asia,Bangladesh,No_major_recombination
OR134846.1,5,Europe,Serbia,No_major_recombination
MW030512.1,5,Europe,Kazakhstan,No_major_recombination
SRR28085236,5,Asia,Mongolia,No_major_recombination
PQ727625.1,1,Europe,Russia,Ancestral_recombinant
OP297402.1,5,Asia,India,No_major_recombination
OM373209.1,1,Asia,China,Ancestral_recombinant
KC951854.1,3,Asia,China,No_major_recombination
PV167794.1,3,Asia,India,No_major_recombination
KX764644.1,4,Africa,South Africa,Ancestral_recombinant
OM793603.1,1,Europe,Russia,Ancestral_recombinant
OR797612.1,5,Asia,China,No_major_recombination
MW167071.1,2,Africa,Egypt,No_major_recombination
SRR26747390_SRR26747391_Merged,5,Europe,Greece,No_major_recombination
OR863389.1,5,Asia,India,No_major_recombination
OR393174.1,5,Asia,India,No_major_recombination
NC_003027.1,5,Africa,Kenya,No_major_recombination
PQ824705.1,4,Asia,Pakistan,Ancestral_recombinant
OQ267777.1,1,Asia,Thailand,Ancestral_recombinant
PQ727632.1,1,Europe,Russia,Ancestral_recombinant
MW699032.1,5,Europe,Russia,No_major_recombination
SRR25461324,5,Asia,India,No_major_recombination
OR134837.1,5,Europe,Albania,No_major_recombination
MN636843.1,4,Africa,South Africa,Ancestral_recombinant
SRR26747368_SRR26747369_Merged,5,Europe,Albania,No_major_recombination
OR347836.1,1,Asia,Thailand,Ancestral_recombinant
KY829023.3,5,Europe,Greece,No_major_recombination
OR393176.1,5,Asia,India,No_major_recombination
SRR26747394_SRR26747395_Merged,5,Europe,Greece,No_major_recombination
OR983148.1,5,Asia,India,No_major_recombination
MZ577076.1,1,Asia,Viet Nam,Ancestral_recombinant
OR644283.1,5,Africa,South Africa,No_major_recombination
MW020571.1,2,Europe,Germany,No_major_recombination
OM803091.1,1,Asia,China,Ancestral_recombinant
ON005067.1,5,Europe,Kazakhstan,No_major_recombination
MN636841.1,4,Africa,South Africa,Ancestral_recombinant
OM984486.1,1,Asia,China,Ancestral_recombinant
PQ727630.1,1,Europe,Russia,Ancestral_recombinant
OR393173.1,5,Asia,India,No_major_recombination
OQ253255.1,1,Asia,Thailand,Ancestral_recombinant
SRR28085238,5,Africa,Ghana,No_major_recombination
ON400507.1,5,Asia,India,No_major_recombination
MN072619.1,5,Africa,Kenya,No_major_recombination
PQ824707.1,4,Asia,Pakistan,Ancestral_recombinant
MW631933.1,5,Africa,Morocco,No_major_recombination
PQ824704.1,4,Asia,Pakistan,Ancestral_recombinant
SRR15145279_SRR15145280_Merged,1,Asia,Viet Nam,Ancestral_recombinant
OK422493.1,5,Asia,India,No_major_recombination
PP979138.1,5,Asia,Bangladesh,No_major_recombination
MW435866.1,4,Africa,South Africa,Ancestral_recombinant
OR567413.1,1,Asia,China,Ancestral_recombinant
SRR25461327,5,Asia,India,No_major_recombination
KY702007.1,5,Europe,Serbia,No_major_recombination
OR983149.1,5,Asia,India,No_major_recombination
SRR26747378_SRR26747377_Merged,5,Europe,Serbia,No_major_recombination
OR134848.1,4,Europe,Serbia,Ancestral_recombinant
OM984485.1,1,Asia,China,Ancestral_recombinant
PQ824706.1,4,Asia,Pakistan,Ancestral_recombinant
PV167793.1,2,Asia,India,No_major_recombination
OR393169.1,5,Asia,India,No_major_recombination
OR393171.1,5,Asia,India,No_major_recombination
PQ727629.1,1,Europe,Russia,Ancestral_recombinant
OK422494.1,5,Asia,India,No_major_recombination
OR134842.1,5,Europe,Greece,No_major_recombination
MG972412.1,4,Europe,Croatia,Ancestral_recombinant
ON152411.1,1,Asia,Thailand,Ancestral_recombinant
PX499192.1,3,Asia,Bangladesh,No_major_recombination
MN072625.1,3,Asia,Yemen,No_major_recombination
OR134838.1,5,Europe,Greece,No_major_recombination
OQ253256.1,1,Asia,Thailand,Ancestral_recombinant
PP065789.1,5,Africa,Lesotho,No_major_recombination
KX576657.1,3,Asia,Iran,No_major_recombination
PQ682461.1,1,Asia,China,Ancestral_recombinant
MZ577075.1,1,Asia,Viet Nam,Ancestral_recombinant
OR347835.1,1,Asia,Thailand,Ancestral_recombinant
OM793608.1,4,Africa,South Africa,Ancestral_recombinant
SRR26747396_SRR26747397_Merged,5,Europe,Albania,No_major_recombination
OR983152.1,5,Asia,India,No_major_recombination
MT137384.1,2,Asia,India,No_major_recombination
PP886238.1,2,Europe,Bulgaria,No_major_recombination
SRR27563732,5,Africa,Ethiopia,No_major_recombination
SRR28085237,5,Asia,Mongolia,No_major_recombination
OR644284.1,5,Africa,South Africa,No_major_recombination
OQ200493.1,1,Asia,Thailand,Ancestral_recombinant
OM105589.1,1,Asia,China,Ancestral_recombinant
SRR27563723,5,Africa,Kenya,No_major_recombination
OR735987.1,1,Asia,Thailand,Ancestral_recombinant
SRR27563735,5,Africa,Senegal,No_major_recombination
OM530217.1,4,Europe,Russia,Ancestral_recombinant
AY077832.1,2,Asia,Turkey,No_major_recombination
OR134843.1,5,Europe,North Macedonia,No_major_recombination
PV796583.1,1,Asia,China,Ancestral_recombinant
OQ253251.1,1,Asia,Thailand,Ancestral_recombinant
PQ727631.1,1,Europe,Russia,Ancestral_recombinant
ON961657.1,2,Europe,Russia,No_major_recombination
KX764643.1,4,Africa,South Africa,Ancestral_recombinant
SRR26747382_SRR26747381_Merged,5,Europe,North Macedonia,No_major_recombination
OQ267778.1,1,Asia,Thailand,Ancestral_recombinant
OQ253250.1,1,Asia,Thailand,Ancestral_recombinant
MT130502.2,5,Europe,Kazakhstan,No_major_recombination
KX764645.1,4,Africa,South Africa,Ancestral_recombinant
KX894508.1,5,Asia,Israel,No_major_recombination
PQ727633.1,1,Europe,Russia,Ancestral_recombinant
MN642592.1,5,Europe,Kazakhstan,No_major_recombination
SRR27563734,5,Africa,Cameroon,No_major_recombination
MW020570.1,3,Europe,Germany,No_major_recombination
NC_004003.1,3,Europe,Kazakhstan,No_major_recombination
OQ253253.1,1,Asia,Thailand,Ancestral_recombinant
OQ434238.1,2,Europe,Russia,No_major_recombination
OR134841.1,5,Europe,Greece,No_major_recombination
KX683219.1,5,Africa,Kenya,No_major_recombination
MW355944.1,1,Asia,China,Ancestral_recombinant
