genome,length,n_contigs,source
SRR27563733,148265,4,SRA
PV066182.1,151130,1,GenBank
OM530217.1,150309,1,GenBank
OP508345.1,150532,1,GenBank
MN072619.1,150329,1,GenBank
MG000156.1,145035,1,GenBank
OR735987.1,150856,1,GenBank
PQ682461.1,150868,1,GenBank
MT007950.1,150586,1,GenBank
MN072622.1,149955,1,GenBank
SRR26747374_SRR26747375_Merged,157276,18,SRA
OR393172.1,150611,1,GenBank
OR347834.1,150857,1,GenBank
OQ427097.1,147548,1,GenBank
MT130502.2,146159,1,GenBank
MT643825.1,150719,1,GenBank
OR134848.1,150285,1,GenBank
OM803092.1,150665,1,GenBank
OR194148.1,150270,1,GenBank
PP894832.1,150575,1,GenBank
OQ253256.1,150689,1,GenBank
OR520147.1,150614,1,GenBank
PP065788.1,150761,1,GenBank
MW167071.1,150478,1,GenBank
PQ682462.1,150945,1,GenBank
SRR25461328,3221467,1078,SRA
MN072624.1,150347,1,GenBank
OP654649.1,150236,1,GenBank
OQ349695.1,150812,1,GenBank
SRR25046331,144083,4,SRA
OR983149.1,150598,1,GenBank
OR567413.1,150221,1,GenBank
PV066181.1,150643,1,GenBank
OR134840.1,150318,1,GenBank
AY077833.1,150057,1,GenBank
PP756497.1,150878,1,GenBank
OR983151.1,150599,1,GenBank
MW030512.1,139366,1,GenBank
SRR27563726,180137,14,SRA
OQ434236.1,149662,1,GenBank
SRR12021190,201874,50,SRA
ON961655.1,149829,1,GenBank
OR983152.1,150607,1,GenBank
OR393176.1,150782,1,GenBank
PP065789.1,150734,1,GenBank
OQ253255.1,150689,1,GenBank
OM803091.1,150610,1,GenBank
SRR27563734,148336,4,SRA
OR134843.1,150317,1,GenBank
MW020571.1,150211,1,GenBank
AF409137.1,150793,1,GenBank
OM033705.1,150689,1,GenBank
MW355944.1,150606,1,GenBank
OQ267777.1,150689,1,GenBank
SRR28085236,168941,7,SRA
PX127682.1,146083,1,GenBank
ON400507.1,150445,1,GenBank
MW631933.1,146090,1,GenBank
OM793602.1,150222,1,GenBank
MN072628.1,149956,1,GenBank
PP886236.1,149978,1,GenBank
OR134832.1,150316,1,GenBank
MN072631.1,150172,1,GenBank
OM793604.1,150516,1,GenBank
MN636842.1,150396,1,GenBank
PV167794.1,149599,1,GenBank
OQ434235.1,149659,1,GenBank
SRR27563724,175920,26,SRA
OK422492.1,146171,1,GenBank
ON616408.1,148453,1,GenBank
OR393173.1,150612,1,GenBank
MG972412.1,150448,1,GenBank
OR644282.1,150340,1,GenBank
PV022135.1,150723,1,GenBank
PQ878211.1,150877,1,GenBank
OR644285.1,150328,1,GenBank
OR393178.1,150612,1,GenBank
OM793608.1,150522,1,GenBank
SRR26747378_SRR26747377_Merged,160010,22,SRA
SRR26747380_SRR26747379_Merged,251444,174,SRA
SRR26747382_SRR26747381_Merged,149178,4,SRA
SRR26747384_SRR26747383_Merged,148124,2,SRA
SRR26747386_SRR26747385_Merged,149232,4,SRA
SRR26747387_SRR26747376_Merged,149731,5,SRA
