Orthogroup,N_sequences,N_codons,LRT,p_value,omega_mean,omega_max,prop_sites_omega_gt1,q_value_BH,Selection
OG0000105,289,140,3.796570081819254,0.07491267165719628,0.2681919622641587,16.62836901796819,0.01612857893485268,0.26439766467245746,Purifying
OG0000067,289,89,3.514862238298747,0.0862436973487018,1.0895185934279656,16.94264000584027,0.03853350224427814,0.2874789911623393,Neutral / inconclusive
OG0000074,289,145,2.681163375897995,0.1308467001813092,0.3391486423866813,8.00240114605692,0.04238085996898473,0.41320010583571326,Purifying
OG0000086,288,161,1.923050296048359,0.1911546813536277,0.3282350661069439,3.013762938460053,0.1089120388064307,0.5,Purifying
OG0000112,290,191,1.234187039287235,0.2697551184458225,0.32461554783401386,3.9987522560261,0.07943241962207218,0.5,Purifying
OG0000121,290,305,0.6043049348654677,0.3696126742461546,0.15041351827343527,46.62254040168997,0.0009637383614142217,0.5,Purifying
OG0000083,289,635,0.3773893462084743,0.414019645379582,0.07820151024698328,12.67446293488911,0.001937532800363684,0.5,Purifying
OG0000104,290,149,0.3731999737265141,0.4148877955680032,0.19559546946325065,1.462758791885481,0.13371683051799,0.5,Purifying
OG0000093,289,317,0.06021478309958184,0.4851706607464892,0.11424101419000446,1.202974030031739,0.08468905518431773,0.5,Purifying
OG0000111,290,171,0.04312776865913293,0.4893334769943501,0.20885733157848754,1.150451992286496,0.1815437175812861,0.5,Purifying
OG0000063,290,161,0.02405725091966815,0.4940217146294985,0.2409473319757782,9.129595376783902,0.002108395770277746,0.5,Purifying
OG0000118,289,361,0.006812019322751439,0.498299892104747,0.2541201403886475,1.022486767747817,0.2485314696373517,0.5,Purifying
OG0000071,290,640,0.0,0.5,0.1125073886676368,10.43549528139882,0.0,0.5,Purifying
OG0000070,288,447,0.0,0.5,0.0666058477913341,1.949800790470518,0.0,0.5,Purifying
OG0000060,287,381,0.0,0.5,0.2041189383031233,5.373435912020203,0.0,0.5,Purifying
OG0000059,290,164,0.0,0.5,0.2559737267501966,8.621921394700596,0.0,0.5,Purifying
OG0000095,290,74,0.0,0.5,0.3670515020230018,1.86137272808308,0.0,0.5,Purifying
OG0000094,289,190,0.0,0.5,0.18916004331930913,5.621111300159814,0.0,0.5,Purifying
OG0000092,287,905,0.0,0.5,0.09461908455762627,1.0,0.0,0.5,Purifying
OG0000088,290,375,0.0,0.5,0.1351965627506548,1.0,0.0,0.5,Purifying
OG0000089,290,714,0.0,0.5,0.08823445141278216,1.048844818929634,0.0,0.5,Purifying
OG0000073,290,49,0.0,0.5,0.1892522752292333,9.898055246695872,0.0,0.5,Purifying
OG0000075,287,104,0.0,0.5,0.1375577294434924,1.08800602848934,0.0,0.5,Purifying
OG0000085,290,75,-0.0001633918724337491,0.5,0.1573036868102442,1.048830043477147,0.001796823402136401,0.5,Purifying
OG0000064,289,101,0.0,0.5,0.3770609853124925,7.163925157572053,0.0,0.5,Purifying
OG0000061,290,211,0.0,0.5,0.3606823515678714,8.344271190922447,0.0,0.5,Purifying
OG0000066,285,321,0.0,0.5,0.07259813166222359,1.0,0.0,0.5,Purifying
OG0000065,290,176,0.0,0.5,0.5100953345103284,8.990100379475566,0.0,0.5,Purifying
OG0000068,289,118,0.0,0.5,0.8254566743567245,2.093536260163942,0.0,0.5,Purifying
OG0000069,290,216,0.0,0.5,0.10167007581110955,1.3914725127012,0.0,0.5,Purifying
OG0000102,289,430,0.0,0.5,0.18755578449061622,9.190379442287657,0.0,0.5,Purifying
OG0000101,287,74,0.0,0.5,0.06233885403972045,5.890818366564798,0.0,0.5,Purifying
OG0000108,287,41,0.0,0.5,0.17534937651421276,9.123668160594763,0.0,0.5,Purifying
OG0000109,289,256,0.0,0.5,0.03273816347112815,1.0,0.0,0.5,Purifying
OG0000107,289,74,0.0,0.5,0.21076274288431057,1.17990126245575,0.0,0.5,Purifying
OG0000096,285,95,0.0,0.5,0.0,4.192260419908029,0.0,0.5,Purifying
OG0000099,290,196,0.0,0.5,0.3955101985684062,5.675023938850166,0.0,0.5,Purifying
OG0000097,288,95,0.0,0.5,0.06388613576901467,1.404332431979977,0.0,0.5,Purifying
OG0000115,289,123,0.0,0.5,0.1458237795656506,1.0,0.0,0.5,Purifying
OG0000113,290,288,0.0,0.5,0.12588510328925004,6.326789571301643,0.0,0.5,Purifying
OG0000119,290,335,0.0,0.5,0.09144603052666538,3.745879422022459,0.0,0.5,Purifying
OG0000117,290,560,0.0,0.5,0.118190503701663,9.010657747400964,0.0,0.5,Purifying
OG0000114,289,181,0.0,0.5,0.2459718074731657,6.603445994773133,0.0,0.5,Purifying
OG0000122,290,240,0.0,0.5,0.2875628027582637,1.359632719196327,0.0,0.5,Purifying
