Orthogroup,n_annotated,product,product_agreement_pct,n_distinct_products,gene,COG
OG0000095,283,IMV membrane protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000096,283,IMV membrane protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000097,283,LSDV107 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000098,283,LSDV108 putative myristylated membrane protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000099,283,LSDV109 putative phosphorylated IMV membrane protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000100,283,LSDV110 putative DNA helicase transcriptional elongation factor [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000101,283,LSDV111 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000102,283,LSDV112 putative DNA polymerase processivity factor [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000103,283,LSDV114 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000104,283,Hypothetical protein LSDVgp117 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000105,283,LSDV118 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000106,283,LSDV119 RNA polymerase subunit [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000107,283,IMV membrane protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000108,283,hypothetical protein,100.0,1,,
OG0000109,283,LSDV121 putative DNA packaging protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000110,283,EEV glycoprotein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000111,283,IEV and EEV membrane glycoprotein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000112,283,hypothetical protein LSDVgp124 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000113,283,hypothetical protein LSDVgp125 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000114,283,EEV glycoprotein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000115,283,hypothetical protein LSDVgp129 [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000116,283,superoxide dismutase precursor [Lumpy skin disease virus NI-2490],87.3,2,,
OG0000117,283,LSDV133 DNA ligase-like protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000118,283,LSDV135 putative IFN-alpha/beta binding protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000119,283,LSDV137 hypothetical protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000120,283,Ig domain OX-2-like protein [Lumpy skin disease virus NI-2490],75.3,2,,
OG0000121,283,LSDV139 putative ser/thr protein kinase [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000122,283,N1R/p28-like protein [Lumpy skin disease virus NI-2490],92.9,2,,
OG0000123,283,EEV Host range protein [Lumpy skin disease virus NI-2490],92.9,2,,
